,0,1,2,3,4,5,6,7,8
0,/lol/romanian-esports-league-season-2/season/cool-gaming-vs-acumen-266067,/media/flag/39.png,/media/flag/39.png,/lol/romanian-esports-league-season-2/season,/media/tournament/_60/e3073.png,,cooLсчетACM,"10 мая, 21:00",
1,/lol/la-ligue-feminine-2020/qualifier/singularity-female-vs-the-black-magic-263661,/media/flag/24.png,/media/flag/87.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,SNGFсчетTBM,"10 мая, 21:00",
2,/lol/esports-amateur-series-2020-spring/1-division/panthers-ec-vs-flama-esports-252817,/media/flag/8.png,/media/flag/8.png,/lol/esports-amateur-series-2020-spring/1-division,/media/tournament/_60/e3080.png,,PSсчетFLA,"10 мая, 21:00",
3,/lol/la-ligue-feminine-2020/qualifier/omerix-nemesis-vs-edelweiss-263654,/media/flag/18.png,/media/flag/25.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,OMNсчетEDW,"10 мая, 20:00",
4,/lol/alaman-stayhome/playoff/700kwaitingroom-vs-kazakstanmcz-261525,/media/flag/31.png,/media/flag/31.png,/lol/alaman-stayhome/playoff,/media/tournament/_60/e3238.png,,700KсчетKAZ,"10 мая, 20:00",
5,/lol/winner-takes-all/playoff/team-havoc-vs-visual-perception-264960,/media/flag/41.png,/media/flag/41.png,/lol/winner-takes-all/playoff,/media/tournament/_60/e3311.png,,HVCсчетVSP,"10 мая, 20:00",
6,/lol/winner-takes-all/playoff/lul-esports-vs-reformed-gaming-264962,/media/flag/41.png,/media/flag/41.png,/lol/winner-takes-all/playoff,/media/tournament/_60/e3311.png,,LULсчетRG,"10 мая, 20:00",
7,/lol/winner-takes-all/playoff/easiest-500-of-my-life-vs-agrioxhnes-gaming-264959,/media/flag/41.png,/media/flag/41.png,/lol/winner-takes-all/playoff,/media/tournament/_60/e3311.png,,E500счетAGG,"10 мая, 20:00",
8,/lol/winner-takes-all/playoff/tap-hades-vs-ex-gll-players-264961,/media/flag/41.png,/media/flag/41.png,/lol/winner-takes-all/playoff,/media/tournament/_60/e3311.png,,THсчетGLL,"10 мая, 20:00",
9,/lol/esports-amateur-series-2020-spring/1-division/foxies-reborn-vs-pushing-gaming-252809,/media/flag/8.png,/media/flag/8.png,/lol/esports-amateur-series-2020-spring/1-division,/media/tournament/_60/e3080.png,,FOXсчетPUSH,"10 мая, 20:00",
10,/lol/la-ligue-feminine-2020/qualifier/singularity-female-vs-feel-our-skills-263659,/media/flag/24.png,/media/flag/21.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,SNGFсчетFOS,"10 мая, 19:00",
11,/lol/la-ligue-feminine-2020/qualifier/akademus-female-vs-major-militia-263653,/media/flag/25.png,/media/flag/6.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,AKDсчетMM,"10 мая, 19:00",
12,/lol/ltl-2020/season/another-troll-team-vs-zwan-gaming-263206,/media/flag/108.png,/media/flag/108.png,/lol/ltl-2020/season,/media/tournament/_60/e3098.png,,ANTсчетZWN,"10 мая, 09:00",
13,/lol/ltl-2020/season/mad-revolution-gaming-vs-deliverance-esports-263205,/media/flag/108.png,/media/flag/108.png,/lol/ltl-2020/season,/media/tournament/_60/e3098.png,,MADсчетDVE,"10 мая, 07:00",
14,/lol/volcano-league-opening-2020/main-event/geekside-esports-vs-aces-gaming-255906,/media/flag/110.png,/media/flag/110.png,/lol/volcano-league-opening-2020/main-event,/media/tournament/_60/e3162.png,,GSEсчетAceS,"10 мая, 05:00",
15,/lol/quartz-cup/playoff/f3nix-e-sport-vs-warthox-esport-264230,/media/flag/18.png,/media/flag/18.png,/lol/quartz-cup/playoff,/media/tournament/_60/e3295.png,,F3NсчетWTX,"10 мая, 02:00",
16,/lol/la-ligue-feminine-2020/qualifier/cybereapers-vs-espectro-esports-263652,/media/flag/25.png,/media/flag/21.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,CYBсчетESP,"10 мая, 01:15",
17,/lol/la-ligue-feminine-2020/qualifier/pcs-lunera-vs-absolved-female-263646,/media/flag/18.png,/media/flag/25.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,PCSLсчетABSF,"10 мая, 01:15",
18,/lol/european-masters-2020-spring/main-event/movistar-riders-vs-k1ck-esports-club-255062,/media/flag/8.png,/media/flag/21.png,/lol/european-masters-2020-spring/main-event,/media/tournament/_60/e2529.png,,MRS(1.68)счет(2.11)K1CK,"10 мая, 01:01",
19,/lol/post-esports-league-2020/season/team-slick-vs-corona-difference-263757,/media/flag/91.png,/media/flag/91.png,/lol/post-esports-league-2020/season,/media/tournament/_60/e3221.png,,TSLсчетCOR,"10 мая, 00:00",
0,/lol/la-ligue-feminine-2020/qualifier/vaevictis-vs-espectro-esports-263651,/media/flag/3.png,/media/flag/21.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,VAEсчетESP,"10 мая, 00:00",
1,/lol/la-ligue-feminine-2020/qualifier/coexistence-vs-esca-female-263645,/media/flag/25.png,/media/flag/18.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,CXSсчетESCAF,"10 мая, 00:00",
2,/lol/la-ligue-feminine-2020/qualifier/espectro-esports-vs-yunirokle-nebula-263650,/media/flag/21.png,/media/flag/18.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,ESPсчетYUN,"09 мая, 22:50",
3,/lol/la-ligue-feminine-2020/qualifier/esca-female-vs-pcs-lunera-263644,/media/flag/18.png,/media/flag/18.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,ESCAFсчетPCSL,"09 мая, 22:50",
4,/lol/european-masters-2020-spring/main-event/ago-rogue-vs-team-ldlc-255061,/media/flag/21.png,/media/flag/18.png,/lol/european-masters-2020-spring/main-event,/media/tournament/_60/e2529.png,,RGO(1.70)счет(2.10)LDLC OL,"09 мая, 22:45",
5,/lol/cblol-2020-summer/playoff/kabum-idm-gaming-vs-flamengo-esports-261039,/media/flag/19.png,/media/flag/19.png,/lol/cblol-2020-summer/playoff,/media/tournament/_60/e2515.png,,KBMсчетFLA,"09 мая, 22:31",
6,/lol/zotac-cup-9/eu-west/team-300-vs-kpg-team-263546,/media/flag/25.png,/media/flag/25.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,300счетKPG,"09 мая, 22:30",
7,/lol/zotac-cup-9/eu-west/angry-pumpkins-vs-speeding-263545,/media/flag/25.png,/media/flag/25.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,ANPсчетSPD,"09 мая, 22:30",
8,/lol/quartz-cup/playoff/omerix-esports-vs-oserv-esport-264231,/media/flag/18.png,/media/flag/18.png,/lol/quartz-cup/playoff,/media/tournament/_60/e3295.png,,OMXсчетOSV,"09 мая, 22:00",
9,/lol/zotac-cup-9/eu-west/speeding-vs-kpg-team-263544,/media/flag/25.png,/media/flag/25.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,SPDсчетKPG,"09 мая, 21:50",
10,/lol/zotac-cup-9/eu-west/angry-pumpkins-vs-team-300-263543,/media/flag/25.png,/media/flag/25.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,ANPсчет300,"09 мая, 21:50",
11,/lol/la-ligue-feminine-2020/qualifier/vaevictis-vs-cybereapers-263649,/media/flag/3.png,/media/flag/25.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,VAEсчетCYB,"09 мая, 21:30",
12,/lol/la-ligue-feminine-2020/qualifier/absolved-female-vs-coexistence-263643,/media/flag/25.png,/media/flag/25.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,ABSFсчетCXS,"09 мая, 21:30",
13,/lol/zotac-cup-9/eu-west/teut-angels-vs-kpg-team-263542,/media/flag/25.png,/media/flag/25.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,TTAсчетKPG,"09 мая, 21:00",
14,/lol/zotac-cup-9/eu-west/speeding-vs-team-myth-263541,/media/flag/25.png,/media/flag/89.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,SPDсчетMYTH,"09 мая, 21:00",
15,/lol/zotac-cup-9/eu-west/woof-woof-burger-flip-vs-team-300-263540,/media/flag/25.png,/media/flag/25.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,WWBFсчет300,"09 мая, 21:00",
16,/lol/circuito-piazza-esports-season-0/final-phase/salerno-guiscards-vs-superteam0-della-261508,/media/flag/22.png,/media/flag/22.png,/lol/circuito-piazza-esports-season-0/final-phase,/media/tournament/_60/e3151.png,,SGсчетSDL,"09 мая, 21:00",
17,/lol/zotac-cup-9/eu-west/cj-newera-gaming-vs-angry-pumpkins-263539,/media/flag/1.png,/media/flag/25.png,/lol/zotac-cup-9/eu-west,/media/tournament/_60/e3271.png,,CJEсчетANP,"09 мая, 20:30",
18,/lol/la-ligue-feminine-2020/qualifier/yunirokle-nebula-vs-cybereapers-263648,/media/flag/18.png,/media/flag/25.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,YUNсчетCYB,"09 мая, 20:00",
19,/lol/la-ligue-feminine-2020/qualifier/absolved-female-vs-esca-female-263642,/media/flag/25.png,/media/flag/18.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,ABSFсчетESCAF,"09 мая, 20:00",
0,/lol/la-ligue-feminine-2020/qualifier/yunirokle-nebula-vs-vaevictis-263647,/media/flag/18.png,/media/flag/3.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,YUNсчетVAE,"09 мая, 19:00",
1,/lol/la-ligue-feminine-2020/qualifier/pcs-lunera-vs-coexistence-263641,/media/flag/18.png,/media/flag/25.png,/lol/la-ligue-feminine-2020/qualifier,/media/tournament/_60/e3276.png,,PCSLсчетCXS,"09 мая, 19:00",
2,/lol/gul-2020-opening/playoff/instinct-gaming-vs-deliverance-esports-peru-260744,/media/flag/36.png,/media/flag/36.png,/lol/gul-2020-opening/playoff,/media/tournament/_60/e2952.png,,INSсчетDVE,"09 мая, 07:00",
3,/lol/quartz-cup/playoff/oserv-esport-vs-skema-esports-264229,/media/flag/18.png,/media/flag/18.png,/lol/quartz-cup/playoff,/media/tournament/_60/e3295.png,,OSVсчетSKM,"09 мая, 01:00",
4,/lol/el-nexo-2020-split-1/showmatch/g2-arctic-vs-origensb-263913,/media/flag/8.png,/media/flag/8.png,/lol/el-nexo-2020-split-1/showmatch,/media/tournament/_60/e3074.png,,G2AсчетOGSB,"09 мая, 00:50",
5,/lol/el-nexo-2020-split-1/showmatch/g2-arctic-vs-movistar-riders-academy-263911,/media/flag/8.png,/media/flag/8.png,/lol/el-nexo-2020-split-1/showmatch,/media/tournament/_60/e3074.png,,G2AсчетMRSA,"08 мая, 23:52",
6,/lol/quartz-cup/playoff/newcomers-vs-omerix-esports-264228,/media/flag/18.png,/media/flag/18.png,/lol/quartz-cup/playoff,/media/tournament/_60/e3295.png,,NWCсчетOMX,"08 мая, 23:00",
7,/lol/el-nexo-2020-split-1/showmatch/g2-arctic-vs-arena-quesito-263910,/media/flag/8.png,/media/flag/8.png,/lol/el-nexo-2020-split-1/showmatch,/media/tournament/_60/e3074.png,,G2AсчетAQ,"08 мая, 22:52",
